Name,Height,School
Gavin Schulte,73.0,Lindenwood University
Adam Szczerba,76.0,Lindenwood University
Patryk Winiatowski,72.0,Lindenwood University
Luke Asbury,72.0,McKendree University
Nojus Bertulis,72.0,McKendree University
Caden Brooks,72.0,McKendree University
Kirk Brotherton,73.0,McKendree University
Owen Brubaker,74.0,McKendree University
Samuel Davey,71.0,McKendree University
Christian Davidson,71.0,McKendree University
Mason Enthoven,67.0,McKendree University
Miles Fleischer,63.0,McKendree University
Leo Gandaria-Hernandez,72.0,McKendree University
Vova Gavrysh,74.0,McKendree University
Kadence Griffin,70.0,McKendree University
Colton Grimes,78.0,McKendree University
Abram Hagedorn,72.0,McKendree University
Nick Khatkovyy,68.0,McKendree University
Wyatt Kurtz,65.0,McKendree University
Jackson Lustig,73.0,McKendree University
Xander McWhorter,71.0,McKendree University
Spencer Meyers,73.0,McKendree University
Archie  Minto,72.0,McKendree University
Finn Moseley,73.0,McKendree University
Dante Nicola Rho,74.0,McKendree University
Joey Ovanic,72.0,McKendree University
Nathan Pollard,74.0,McKendree University
Patryk Rozenek,75.0,McKendree University
Calum Shank,72.0,McKendree University
Arthur Souza,69.0,McKendree University
Matthew Stooke,73.0,McKendree University
Michael Stooke,76.0,McKendree University
Noah Tague,73.0,McKendree University
Domantas  Tarnauskas,77.0,McKendree University
Tyson Upton,79.0,McKendree University
Alireza Yavari,70.0,McKendree University
Caleb Baron,72,Ramapo College
Tyler Canteen,67,Ramapo College
Doruk Evcimen,68,Ramapo College
Tyler Finkle,76,Ramapo College
AJ Guevara,66,Ramapo College
Tomas  Jimenez,67,Ramapo College
Daniel Karamanougian,70,Ramapo College
Devin Korsak,70,Ramapo College
Matthew O'Brien,71,Ramapo College
Jacob Peraza,73,Ramapo College
Sean Robinson,72,Ramapo College
Andy Shkolnik,71,Ramapo College
Joe Swede,76,Ramapo College
Adam Wright,69,Ramapo College
Maddox Aramini,67,SUNY Oneonta
Nicky Byrd,70,SUNY Oneonta
Ross Caimano,70,SUNY Oneonta
Joseph  Campise,73,SUNY Oneonta
Andrew Capella,69,SUNY Oneonta
Russell Cheng,67,SUNY Oneonta
Matt Cleveland,68,SUNY Oneonta
Bastian Dudley,70,SUNY Oneonta
Anthony Genovese,72,SUNY Oneonta
Luke Goodspeed,68,SUNY Oneonta
Dylan Harrison,69,SUNY Oneonta
Brendan Heaney,71,SUNY Oneonta
Ben Heyman,68,SUNY Oneonta
Calvin Hitzschke,72,SUNY Oneonta
Jack Humphrey,71,SUNY Oneonta
James  Llewellyn,66,SUNY Oneonta
Cosmo Martinelli,74,SUNY Oneonta
Josh Pappace,69,SUNY Oneonta
Colin Ringwood,69,SUNY Oneonta
David Scott,70,SUNY Oneonta
Delroy Tyrrell,72,SUNY Oneonta
Gavin Weseman,76,SUNY Oneonta
Benjamin Beldner,73,SUNY Binghamton
Brandon Berger,73,SUNY Binghamton
Ryan Board,71,SUNY Binghamton
Keegan Chatham,70,SUNY Binghamton
Zachary Ciriaco,66,SUNY Binghamton
Ryan Cohn,70,SUNY Binghamton
Nathan DeGuzman,69,SUNY Binghamton
Christopher Egan,66,SUNY Binghamton
Christopher Ghim,72,SUNY Binghamton
Brian Harding,76,SUNY Binghamton
Jackson Homan,72,SUNY Binghamton
Sandon Karinsky,70,SUNY Binghamton
George Kipshidze,73,SUNY Binghamton
Eric Kroon,77,SUNY Binghamton
Elijah Lanfear,74,SUNY Binghamton
Xiaoyu Lin,73,SUNY Binghamton
Ryan Maierle,75,SUNY Binghamton
William Maurer,70,SUNY Binghamton
Justin Meyn,74,SUNY Binghamton
Liam Murphy,73,SUNY Binghamton
Oisin O'Sullivan,71,SUNY Binghamton
Matthew Palguta,74,SUNY Binghamton
Travis Phillips,73,SUNY Binghamton
Robert Reining,74,SUNY Binghamton
Henry Shemet,75,SUNY Binghamton
Jake  Vecchio,68,SUNY Binghamton
Matthew Czubachowski,72,Albright College
Nicholas Dolan,73,Albright College
Caleb Ferns,72,Albright College
Nicholas Griffith,76,Albright College
Joseph Guiliano,72,Albright College
Kieran Hassard,72,Albright College
Anthony Laite,69,Albright College
Drew MacDonald,72,Albright College
Kyle Morken,73,Albright College
Peter Vanderwerf,75,Albright College
